Capacity [A.h],Voltage [V]
0.728280601270532,3.7304001
0.725537786006345,3.7316799
0.722794998898728,3.7343352
0.720052202041157,3.7363601
0.717309328156218,3.7381368
0.714566572243151,3.7401044
0.711823750006557,3.7421293
0.709080902631,3.7440205
0.706338085711054,3.7458162
0.703595270724321,3.7477648
0.700852400349477,3.7496178
0.698109538395877,3.7516809
0.695366698411941,3.7534957
0.692623847013395,3.7555971
0.689880961230421,3.7574883
0.687138098536445,3.7595131
0.684395215036645,3.7615383
0.68165241431157,3.7635248
0.678909523316224,3.7657218
0.676166645355967,3.7677467
0.67342378956479,3.7697144
0.670680956970123,3.7719111
0.667938171504694,3.7739744
0.665195340676984,3.7762668
0.662452529672024,3.7784445
0.659709697937716,3.7806985
0.6569668499152,3.78301
0.654224011289109,3.7854362
0.651481147463906,3.7876904
0.648738253757655,3.7902884
0.64599541505143,3.7927337
0.643252634064709,3.7952936
0.640509860839425,3.7978914
0.637767043752434,3.8005278
0.635024270210447,3.8033168
0.63228151314399,3.8061059
0.629538730804046,3.8088949
0.62679600263204,3.8117986
0.624053244243505,3.8149123
0.621310535006233,3.8179879
0.618567817276516,3.8211401
0.615825115835758,3.8243303
0.613082369801283,3.8278069
0.610339674956835,3.8312075
0.607596946466553,3.8345122
0.604854212561367,3.8380845
0.602111470738815,3.8417141
0.599368637914155,3.845382
0.596625816976894,3.8492599
0.593883054067313,3.8529851
0.59114028791393,3.8567293
0.58839747044809,3.8606646
0.585654646243217,3.8645997
0.582911811524828,3.8685732
0.580169008556383,3.8723557
0.577426164337373,3.8763673
0.574683352984484,3.8804364
0.571940599365687,3.8843524
0.569197871135478,3.8883069
0.566455142437934,3.8923757
0.563712380619802,3.8963492
0.560969643158409,3.9003036
0.558226833987872,3.9041815
0.555484084020912,3.9081359
0.552741279983768,3.9121475
0.549998513658005,3.91593
0.547255761582201,3.9197125
0.544513034466447,3.9235139
0.541770264222043,3.9273536
0.539027436145455,3.9310598
0.536284585324473,3.9347467
0.533541769567664,3.9385099
0.530798963790227,3.9421012
0.528056197273153,3.9458838
0.525313416799281,3.9494178
0.522570619072814,3.9528372
0.519827853265783,3.9563715
0.517085080108813,3.9599056
0.514342254102725,3.9632294
0.511599428359482,3.9667063
0.508856601800152,3.9700875
0.506113843787017,3.9734116
0.503371062128829,3.9765062
0.50062826139922,3.9798875
0.497885445261511,3.982944
0.495142733621439,3.9861915
0.492399930245463,3.9894199
0.489657176235216,3.9923618
0.486914344346706,3.9955521
0.484171532247483,3.998704
0.481428706607818,4.0019135
0.478685949129604,4.0049701
0.475943212442338,4.0080266
0.473200445640816,4.0111403
0.470457688750785,4.0142159
0.467714842542341,4.0174446
0.464972042380212,4.0206537
0.462229271213954,4.0238056
0.459486495461062,4.0272636
0.456743689030797,4.0306258
0.454000950217902,4.0340261
0.451258173854819,4.0374837
0.448515403440036,4.0410943
0.44577261622428,4.0447431
0.443029794980126,4.048449
0.440286999029268,4.0520782
0.437544206604775,4.0559564
0.434801417108131,4.0598726
0.432058594620539,4.0640945
0.429315830822815,4.0680103
0.426573081182075,4.0721369
0.423830261974305,4.0763588
0.421087493038624,4.0807524
0.418344757134132,4.0850315
0.415601969951161,4.0893869
0.412859182206443,4.0938954
0.410116383441971,4.0982699
0.407373581023768,4.1025681
0.404630801723858,4.1070385
0.401888050709619,4.1115274
0.399145299658585,4.1158638
0.396402539248542,4.1203532
0.393659776090696,4.1245942
0.390916945565017,4.1289687
0.388174161716931,4.1330566
0.385431393706251,4.1371832
0.382688616708857,4.1411376
0.379945869924074,4.1449199
0.377203124692053,4.1486449
0.374460326642957,4.1522365
0.371717553097251,4.1554456
0.368974762515432,4.1585789
0.366232009311179,4.1617498
0.363489242715272,4.1642141
0.360746453461877,4.1667166
0.358003746643628,4.1685123
0.355261034342462,4.1704226
0.352518319749169,4.1719127
0.349775558205927,4.1735554
0.347032822538752,4.1747589
0.344290006593472,4.1760387
0.341547258993073,4.1771469
0.338804489927674,4.1784649
0.336061688877644,4.1796112
0.333318929606346,4.180891
0.330576135150003,4.1820374
0.327833431954281,4.18326
0.325917392109783,4.1841388
0.324839818611089,4.1846547
0.323889277762822,4.1850557
0.32317131165542,4.1853614
0.32252693245607,4.1855712
0.321979459645735,4.1858006
0.321470482493083,4.186049
0.32104228238493,4.1861634
0.320639279131512,4.1862783
0.320277012317653,4.1865649
0.319931916565404,4.1866412
0.319615407894636,4.1867366
0.31931568025064,4.1867938
0.319029590364079,4.1867747
0.318756579317261,4.186985
0.318497392576957,4.1870041
0.318258868214148,4.1871762
0.318027806066009,4.1871953
0.317798093756079,4.1874051
