Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
149892.1237,3.5706306,-1.150049835,0.15817828,3.7288089
149914.7181,3.5695996,-1.150051569,0.15876999,3.7283697
149942.3011,3.5685689,-1.150052852,0.159209,3.727778
149971.8803,3.5675001,-1.150055808,0.1596671,3.7271671
150001.0339,3.5664883,-1.150055503,0.16010611,3.7265944
150032.5811,3.5654767,-1.150054142,0.16039242,3.7258692
150066.8407,3.5644078,-1.150056598,0.16090778,3.7253156
150107.5525,3.5633962,-1.150054325,0.16128953,3.7246857
150144.6253,3.5623653,-1.150056869,0.16159493,3.7239602
150182.6691,3.5613537,-1.150055996,0.16193849,3.7232921
150218.0543,3.5602846,-1.150054278,0.16228206,3.7225666
150261.6297,3.5592539,-1.150057102,0.16262564,3.7218795
150303.4453,3.5582421,-1.150055684,0.163141,3.7213831
150344.4951,3.5572114,-1.150056246,0.16348457,3.720696
150384.8463,3.5561996,-1.150057616,0.16371362,3.7199132
150421.4407,3.5557225,-1.150056324,0.16390449,3.7196269
150421.4889,3.5683756,0,0.16006793,3.7284436
150421.4907,3.5673091,0,0.16018246,3.7274916
150422.1609,3.568321,0,0.15983889,3.7281599
150424.6597,3.5693517,0,0.15928535,3.728637
150428.9417,3.5703826,0,0.15899904,3.7293816
150433.8993,3.5714324,0,0.1584646,3.729897
150440.0613,3.5725205,0,0.15814011,3.7306607
150447.0833,3.5735893,0,0.15754841,3.7311378
150454.7087,3.5746584,0,0.15714757,3.731806
150463.3961,3.5757272,0,0.15684217,3.7325695
150472.8269,3.5767391,0,0.15621229,3.7329514
150482.8429,3.5777507,0,0.15579237,3.7335432
150492.9445,3.5787623,0,0.15523884,3.7340012
150505.7339,3.5797739,0,0.15479983,3.7345738
150519.1378,3.5807858,0,0.15436082,3.7351465
150532.1548,3.5817976,0,0.15380728,3.7356048
150548.8594,3.5828092,0,0.15331101,3.7361202
150565.5964,3.5838208,0,0.15277657,3.7365973
150585.505,3.5848706,0,0.15231848,3.7371891
150610.8044,3.5859015,0,0.15170768,3.7376091
150638.9236,3.5869322,0,0.15121141,3.7381437
150670.1436,3.588001,0,0.15065788,3.7386589
150708.245,3.589051,0,0.15004708,3.7390981
150753.2534,3.5900626,0,0.14953172,3.7395945
150812.9764,3.5910742,0,0.14899728,3.7400715
150872.9764,3.5914943,0,0.1486537,3.7401481
150924.0566,3.5925059,0,0.14823379,3.7407398
150984.0566,3.5927923,0,0.14815743,3.7409496
151044.0566,3.5930405,0,0.14792839,3.7409689
151104.0566,3.5937467,0,0.14756572,3.7413125
151164.0567,3.5937276,0,0.14758481,3.7413125
151224.0567,3.5942047,0,0.1472985,3.7415032
151284.0567,3.5943003,0,0.1472985,3.7415988
151344.0567,3.5944338,0,0.14724125,3.7416751
151404.0567,3.5947394,0,0.14710763,3.741847
151464.0567,3.5949686,0,0.14687859,3.741847
151524.0567,3.5950639,0,0.14684041,3.7419043
151584.0567,3.5950255,0,0.14678314,3.7418087
151644.0567,3.5954266,0,0.14657319,3.7419996
151704.0567,3.5953119,0,0.14663045,3.7419424
151764.0567,3.5954456,0,0.1465541,3.7419996
151802.4916,3.5956554,0,0.14659227,3.7422478
